,CAN,COMPR,D774781,D81Q1,D82Q1,D841,D84Q2,D872,D891924,D894,D911P,D92Q4,D93Q1,D971P,D98Q1,D993P,DS1,DS2,DS3,DS4,EEN,EER,FDD,GCD,GCN,GCN_YEN,GCR,GDN,GDN_DIS,GDN_DIS_YEN,GDN_YEN,GEN,GEN_YEN,GIN,GIN_OTHER,GIN_OTHER_YEN,GIN_YEN,GIX,GLN,GLN_DIS,GLN_DIS_YEN,GLN_YEN,GON,GPN,GPN_YEN,GRN,GRN_YEN,GSN,GSN_YEN,GYN,GYN_YEN,HEG,HEX,HICP,INFQ,INFT,INN,INN_YEN,ITD,ITN,ITR,KSR,LEN,LFN,LNN,LNT,LPROD,LSL,LSR,LTN,MTD,MTN,MTR,NFA,NFN,NFN_YEN,OGN,OGN_YEN,PCD,PCN,PCR,PYN,PYN_DIS,PYN_DIS_YEN,PYR,S1,S3,SCD,SCN,SCR,SSN,SSN_YEN,STN,STRQ,T931P,TBN,TBR,TDN,TDN_YEN,TFT,TIME,TIN,TIN_YEN,TKN,TKN_YEN,TRN,TRN_FIRMS,TRN_FIRMS_YEN,TRN_OTHER,TRN_OTHER_YEN,TRN_YEN,ULC,ULT,UNN,URT,URX,WIN,WLN,WLR,WRN,XTD,XTN,XTR,YED,YEN,YEN_DIS,YER,YER_DIS,YET,YFD,YFN,YGA,YIN,YIN_DIS,YWD,YWDX,YWR,YWRX
1970Q1,,"7,6857 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1287 ",,"807554,3560 ","0,1407 ","18060,0916 ","0,1570 ","128326,5870 ",,,,,"44256,0672 ","0,3847 ","4550,6083 ","2321,5582 ","0,0202 ","0,0396 ",,"-152,9412 ","0,0000 ","0,0000 ","-0,0013 ","42260,3640 ","1228,6850 ","0,0107 ",,"0,4472 ",,,,,,,"20,0615 ",,,"1381,6263 ","0,0120 ","0,1705 ","29686,2401 ","174113,0224 ","8357298,1723 ","86439,4541 ","115407,3546 ","113379,3581 ",,"6,1838 ",,"490780,9329 ","7,0305 ","0,2194 ","23353,0014 ","106438,7375 ",,,,,,"0,1665 ","65017,1829 ","390512,7281 ","90454,8169 ",,,"543298,7985 ",,,"0,2619 ","3043,4803 ","11620,6443 ","12937,1150 ","0,1125 ","7,9751 ",,"0,0000 ","-780,9569 ","-3457,3633 ","10817,7857 ","0,0940 ",,"1,0000 ","13678,0502 ","0,1189 ","112,6232 ","0,0010 ","14263,8307 ","2965,5148 ","0,0258 ","712,8374 ","0,0062 ","0,1240 ","0,0843 ",,"2027,9965 ",,"0,0176 ","59087,6238 ",,,"0,5211 ","0,2192 ","22572,0445 ","102981,3741 ","0,1641 ","115026,0380 ","0,0000 ","701115,6185 ","0,0000 ",,"0,1446 ","101347,9878 ",,"115026,0380 ","0,0000 ","0,2215 ","0,2310 ","51,2176 ","15578,4105 "
1970Q2,,"7,7703 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1212 ",,"823678,8182 ","0,1453 ","18982,2245 ","0,1586 ","130598,8311 ",,,,,"46238,8092 ","0,3864 ","4740,2587 ","2342,7735 ","0,0196 ","0,0396 ",,"-319,8821 ","0,0000 ","0,0000 ","-0,0027 ","43807,1454 ","1123,9149 ","0,0094 ",,"0,4492 ",,,,,,,"20,2874 ",,"0,0148 ","1443,7970 ","0,0121 ","0,1732 ","31940,5652 ","184452,8240 ","8458178,0146 ","86750,1823 ","115441,7943 ","113476,1891 ",,"6,2973 ","112953,4612 ","498410,8202 ","7,3327 ","0,2245 ","24490,8303 ","109086,4198 ",,,,,,"0,1690 ","66805,0156 ","395372,8559 ","93252,4639 ",,,"551897,0787 ",,,"0,3563 ","2718,5612 ","7629,8873 ","13602,3847 ","0,1137 ","7,9447 ",,"0,0000 ","-777,8150 ","-3461,9999 ","11474,9444 ","0,0959 ","1,1278 ","2,0000 ","14044,5841 ","0,1174 ","117,5562 ","0,0010 ","14943,5969 ","3086,8511 ","0,0258 ","699,3074 ","0,0058 ","0,1249 ","0,0865 ",,"1965,6052 ",,"0,0170 ","61816,8220 ",,,"0,5448 ","0,2245 ","23713,0153 ","105624,4200 ","0,1675 ","119668,5515 ","0,0000 ","714592,3983 ","0,0000 ",,"0,1478 ","105623,9674 ",,"119668,5515 ","0,0000 ","0,2251 ","0,2353 ","52,3691 ","15897,3442 "
1970Q3,,"7,6310 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1186 ",,"835993,6028 ","0,1475 ","19546,6881 ","0,1590 ","132492,1951 ",,,,,"47516,6531 ","0,3866 ","4888,5236 ","2178,5547 ","0,0177 ","0,0398 ",,"-496,7066 ","0,0000 ","0,0000 ","-0,0040 ","44314,2648 ","997,0180 ","0,0081 ",,"0,4523 ",,,,,,,"20,4758 ",,"0,0167 ","1493,7246 ","0,0122 ","0,1757 ","32897,0273 ","187259,1565 ","8560855,3910 ","87079,8469 ","115657,0127 ","113622,7774 ",,"6,3649 ","113388,2756 ","506484,8747 ","7,3582 ","0,2256 ","25449,3152 ","112792,1050 ",,,,,,"0,1718 ","68747,0507 ","400115,8714 ","95765,9718 ",,,"557369,1506 ",,,"0,3022 ","2440,0666 ","8074,0545 ","14158,8484 ","0,1152 ","7,5909 ",,"0,0000 ","-710,8386 ","-4739,7796 ","11989,4762 ","0,0975 ","1,1333 ","3,0000 ","14303,3179 ","0,1164 ","121,4844 ","0,0010 ","15499,6264 ","3181,0587 ","0,0259 ","728,4770 ","0,0059 ","0,1261 ","0,0889 ",,"2034,2354 ",,"0,0176 ","64302,4114 ",,,"0,5659 ","0,2289 ","24738,4767 ","108052,3254 ","0,1700 ","122919,9940 ","0,0000 ","723201,4979 ","0,0000 ",,"0,1502 ","108616,6761 ",,"122919,9940 ","0,0000 ","0,2291 ","0,2395 ","52,8581 ","16088,0177 "
1970Q4,,"7,6170 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1182 ",,"845060,8167 ","0,1482 ","19964,9298 ","0,1587 ","134673,8322 ",,,,,"48399,0801 ","0,3847 ","5016,6342 ","1896,9074 ","0,0151 ","0,0399 ",,"-681,2296 ","0,0000 ","0,0000 ","-0,0054 ","44252,7776 ","856,5431 ","0,0068 ",,"0,4549 ",,,,,,,"20,7339 ",,"0,0124 ","1537,7727 ","0,0122 ","0,1780 ","33199,8327 ","186495,1449 ","8661741,9820 ","87498,6395 ","115841,9602 ","113821,9306 ",,"6,4308 ","113832,3717 ","512969,3685 ","7,3021 ","0,2271 ","25680,4684 ","113098,5834 ",,,,,,"0,1740 ","70958,0458 ","407885,4717 ","98103,6204 ",,,"563925,3588 ","-1,0000 ","-1,0000 ","0,2952 ","1914,0738 ","6484,4939 ","14664,5932 ","0,1166 ","7,2316 ",,"0,0000 ","-225,7099 ","-3576,7094 ","12409,0171 ","0,0986 ","1,1388 ","4,0000 ","14895,9020 ","0,1184 ","124,9249 ","0,0010 ","15996,9362 ","3262,0140 ","0,0259 ","723,8858 ","0,0058 ","0,1272 ","0,0911 ",,"2020,0297 ",,"0,0174 ","66662,4926 ",,,"0,5857 ","0,2324 ","25454,7585 ","109521,8741 ","0,1719 ","125811,1722 ","0,0000 ","731962,2333 ","0,0000 ",,"0,1515 ","110915,2703 ",,"125811,1722 ","0,0000 ","0,2343 ","0,2438 ","52,7281 ","16172,6171 "
1971Q1,,"7,6871 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1206 ",,"845646,6341 ","0,1584 ","21401,3623 ","0,1659 ","135123,2046 ",,,,,"50706,9823 ","0,3932 ","5131,8123 ","2082,6177 ","0,0161 ","0,0398 ",,"-869,7843 ","0,0000 ","0,0000 ","-0,0067 ","44942,0782 ","708,2379 ","0,0055 ",,"0,4553 ",,,,,,,"21,1137 ","0,0183 ","0,0139 ","1578,0222 ","0,0122 ","0,1826 ","33874,7217 ","185494,9674 ","8760619,5296 ","87931,0489 ","116081,5825 ","114024,0076 ",,"6,4081 ","111705,5245 ","515555,0002 ","6,9183 ","0,2292 ","26345,9049 ","114964,2289 ",,,,,,"0,1764 ","72448,0058 ","410694,0603 ","100567,3710 ",,,"570097,4301 ","1,0000 ","0,0000 ","0,5512 ","1425,0851 ","2585,6317 ","15137,0851 ","0,1174 ","6,5072 ","-0,0024 ","0,0000 ","-182,6743 ","-3215,4589 ","12737,3444 ","0,0988 ","1,1443 ","5,0000 ","15026,8188 ","0,1165 ","128,0516 ","0,0010 ","16456,0837 ","3334,4802 ","0,0259 ","722,6039 ","0,0056 ","0,1276 ","0,0944 ",,"2057,5750 ",,"0,0177 ","68997,6036 ",,,"0,6051 ","0,2341 ","26163,2305 ","111748,7701 ","0,1765 ","128966,5006 ","0,0000 ","730682,4051 ","0,0000 ",,"0,1559 ","113939,6818 ",,"128966,5006 ","0,0000 ","0,2382 ","0,2467 ","53,0899 ","16195,1963 "
1971Q2,,"7,7007 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,1148 ",,"854162,5319 ","0,1592 ","21905,8081 ","0,1658 ","137560,8002 ",,,,,"52133,7129 ","0,3947 ","5276,7375 ","2108,0119 ","0,0160 ","0,0399 ",,"-1070,5398 ","0,0000 ","0,0000 ","-0,0081 ","46278,1209 ","557,0836 ","0,0042 ",,"0,4584 ",,,,,,,"21,4698 ","0,0160 ","0,0148 ","1627,6234 ","0,0123 ","0,1856 ","35344,1542 ","190397,3817 ","8863410,7160 ","88205,2315 ","116426,9053 ","114266,5708 ",,"6,4765 ","112327,5688 ","513304,3750 ","7,0086 ","0,2313 ","26395,6896 ","114119,9680 ",,,,,,"0,1790 ","74622,4628 ","416787,8190 ","103411,2543 ",,,"577581,4613 ","0,0000 ","0,0000 ","-0,0998 ","224,5666 ","-2250,6253 ","15702,9372 ","0,1189 ","5,9298 ","-0,0015 ","0,0000 ","3,5889 ","-2452,8118 ","13218,6663 ","0,1001 ","1,1499 ","6,0000 ","15304,8903 ","0,1159 ","131,9302 ","0,0010 ","17014,4214 ","3426,1736 ","0,0259 ","774,9371 ","0,0059 ","0,1288 ","0,0953 ",,"2160,3345 ",,"0,0186 ","70517,5693 ",,,"0,6171 ","0,2364 ","26399,2785 ","111667,1562 ","0,1785 ","132100,5806 ","0,0000 ","740042,5639 ","0,0000 ",,"0,1578 ","116795,6902 ",,"132100,5806 ","0,0000 ","0,2420 ","0,2492 ","53,8865 ","16406,2042 "
1971Q3,,"7,8114 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,0984 ",,"868976,3553 ","0,1635 ","22734,3610 ","0,1670 ","139048,2870 ",,,,,"54500,4455 ","0,4003 ","5416,6716 ","2544,9428 ","0,0187 ","0,0398 ",,"-1310,4078 ","0,0000 ","0,0000 ","-0,0096 ","47481,9965 ","374,2781 ","0,0027 ",,"0,4601 ",,,,,,,"21,7226 ","0,0159 ","0,0160 ","1684,6860 ","0,0124 ","0,1877 ","35907,3043 ","191296,9494 ","8966073,5582 ","88346,7919 ","116086,6642 ","113930,3082 ",,"6,5969 ","113451,2939 ","514500,0557 ","7,0716 ","0,2358 ","27677,0859 ","117392,1573 ",,,,,,"0,1819 ","76491,1316 ","420424,3871 ","106116,5731 ",,,"583257,0948 ","0,0000 ","1,0000 ","0,6379 ","762,6946 ","1195,6807 ","16322,5355 ","0,1199 ","6,2170 ","-0,0007 ","0,0000 ","252,4073 ","-381,1062 ","13669,3937 ","0,1004 ","1,1555 ","7,0000 ","15765,3418 ","0,1158 ","136,4468 ","0,0010 ","17717,1744 ","3569,7301 ","0,0262 ","832,8796 ","0,0061 ","0,1301 ","0,0970 ",,"2156,3560 ",,"0,0186 ","72900,5605 ",,,"0,6399 ","0,2387 ","27929,4932 ","117011,0511 ","0,1811 ","136147,8988 ","0,0000 ","751584,1979 ","0,0000 ",,"0,1602 ","120382,5570 ",,"136147,8988 ","0,0000 ","0,2461 ","0,2509 ","54,3495 ","16588,1145 "
1971Q4,,"7,9238 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,0970 ",,"876019,5923 ","0,1647 ","23074,9837 ","0,1659 ","140085,1205 ",,,,,"56325,3589 ","0,4049 ","5473,2850 ","3039,8423 ","0,0218 ","0,0393 ",,"-1574,7177 ","0,0000 ","0,0000 ","-0,0113 ","48236,4669 ","151,4443 ","0,0011 ",,"0,4608 ",,,,,,,"22,0519 ","0,0166 ","0,0115 ","1726,1620 ","0,0124 ","0,1903 ","36854,2522 ","193681,9703 ","9070094,7929 ","88610,5195 ","116252,7795 ","113926,3489 ",,"6,6496 ","113168,7532 ","514451,0214 ","6,8940 ","0,2347 ","27804,3374 ","118457,5108 ",,,,,,"0,1840 ","78269,6787 ","425271,2661 ","109273,1023 ",,,"593725,5824 ","-1,0000 ","-1,0000 ","-19,6467 ","963,3617 ","-49,0343 ","16768,8282 ","0,1205 ","5,9969 ","-0,0019 ","0,0000 ","-37,0901 ","-1427,2410 ","13881,6300 ","0,0998 ","1,1610 ","8,0000 ","15963,0346 ","0,1147 ","139,7341 ","0,0010 ","18331,5328 ","3721,9114 ","0,0268 ","957,6418 ","0,0069 ","0,1318 ","0,0989 ",,"2326,4306 ",,"0,0200 ","74925,6846 ",,,"0,6577 ","0,2373 ","27767,2473 ","117030,2697 ","0,1836 ","139125,1861 ","0,0000 ","757562,0815 ","0,0000 ",,"0,1626 ","123162,1515 ",,"139125,1861 ","0,0000 ","0,2502 ","0,2515 ","54,5085 ","16700,4104 "
1972Q1,,"8,5342 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,0798 ",,"893053,0308 ","0,1713 ","24405,9559 ","0,1691 ","142481,9736 ",,,,,"59380,6085 ","0,4114 ","5585,0949 ","3507,3342 ","0,0243 ","0,0387 ",,"-1867,6388 ","0,0000 ","0,0000 ","-0,0129 ","49640,3715 ","-81,3792 ","-0,0006 ","56294,2179 ","0,4591 ","5861,5109 ","0,0406 ","30267,4668 ","0,2097 ",,,"22,4247 ","0,0155 ","0,0164 ","1786,2596 ","0,0124 ","0,1932 ","37855,4560 ","195981,7980 ","9175375,6430 ","88975,7626 ","116525,3349 ","114047,0220 ",,"6,7410 ","114181,0061 ","514255,4873 ","6,6687 ","0,2328 ","28932,5451 ","124265,2968 ",,,,"3987,0616 ","0,0276 ","0,1871 ","80916,5213 ","432511,6010 ","113584,7924 ",,,"607128,6758 ","1,0000 ","0,0000 ","-4,1794 ","817,2061 ","-195,5342 ","17398,2449 ","0,1205 ","5,0391 ","-0,0031 ","0,0000 ","351,3016 ","-1992,1045 ","14307,1492 ","0,0991 ","1,1666 ","9,0000 ","16539,7603 ","0,1146 ","144,5275 ","0,0010 ","19152,5896 ","3917,4744 ","0,0271 ","1025,8999 ","0,0071 ","0,1327 ","0,1017 ",,"2478,3130 ",,"0,0213 ","78166,3091 ",,,"0,6854 ","0,2395 ","29283,8467 ","122273,1923 ","0,1878 ","144346,4409 ","0,0000 ","768787,7340 ","0,0000 ",,"0,1662 ","127806,6806 ",,"144346,4409 ","0,0000 ","0,2545 ","0,2530 ","55,3012 ","16953,2140 "
1972Q2,,"8,6598 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","0,0000 ","1,0747 ",,"901448,1766 ","0,1728 ","24761,3972 ","0,1680 ","143287,1573 ",,,,,"60589,7966 ","0,4112 ","5633,4496 ","3534,7345 ","0,0240 ","0,0382 ",,"-2152,0101 ","0,0000 ","0,0000 ","-0,0146 ","50767,7738 ","-324,7402 ","-0,0022 ","57632,5430 ","0,4595 ","6063,1610 ","0,0411 ","30824,5581 ","0,2092 ",,,"22,7450 ","0,0161 ","0,0131 ","1827,2698 ","0,0124 ","0,1960 ","38944,0486 ","198733,9920 ","9282355,8785 ","89202,6582 ","116605,7054 ","114088,7973 ",,"6,7839 ","113688,3026 ","515696,4912 ","6,6828 ","0,2334 ","29759,7567 ","127483,8479 ",,,,"4009,7242 ","0,0272 ","0,1896 ","82344,5554 ","434413,2848 ","115813,8587 ",,,"610982,4571 ","0,0000 ","0,0000 ","0,5867 ","845,4076 ","1441,0040 ","17843,9280 ","0,1211 ","4,7466 ","-0,0045 ","0,0000 ","471,1633 ","-3911,1093 ","14757,9312 ","0,1001 ","1,1720 ","10,0000 ","16798,8528 ","0,1140 ","147,7696 ","0,0010 ","19777,7429 ","4074,3373 ","0,0276 ","980,8652 ","0,0067 ","0,1342 ","0,1031 ",,"2516,9081 ",,"0,0216 ","79799,9455 ",,,"0,6995 ","0,2446 ","30230,9201 ","123572,7386 ","0,1904 ","147366,5721 ","0,0000 ","773964,3287 ","0,0000 ",,"0,1687 ","130567,7193 ",,"147366,5721 ","0,0000 ","0,2580 ","0,2572 ","56,4324 ","17185,3142 "
